trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-414.16772,8.419937,-405.7478,-422.58768,201.0,-1853.2247,377.6526,-1057.0668,-2606.3716,201.0,20100,0.0,0.0,30.946611881256104,0.19208187,-1853.2247
-277.9135,5.5083313,-272.40518,-283.42184,201.0,-467.85587,39.486477,-419.23438,-517.72375,201.0,20904,0.0,0.0,86.4613709449768,0.17731553,-1853.2247
-267.40613,5.4030914,-262.00302,-272.8092,201.0,-284.80127,16.229475,-260.4687,-299.75974,201.0,21708,0.0,0.0,138.23328948020935,0.17363684,-1853.2247
-268.1419,18.888245,-249.25366,-287.03015,201.0,-305.48877,31.036007,-268.993,-354.42627,201.0,22512,0.0,0.0,188.035315990448,0.16306734,-1853.2247
-256.1054,0.7585602,-255.34683,-256.86395,201.0,-275.47208,19.692661,-248.29138,-303.91867,201.0,23316,0.0,0.0,237.02220392227173,0.15902175,-1853.2247
-272.168,7.456482,-264.71152,-279.62448,201.0,-274.21408,15.07388,-257.16193,-295.49527,201.0,24120,0.0,0.0,286.13600158691406,0.15716068,-1853.2247
-270.47894,9.152527,-261.32642,-279.63147,201.0,-265.97168,18.246027,-242.61278,-291.59436,201.0,24924,0.0,0.0,333.63300800323486,0.16019554,-1853.2247
-249.08548,5.360382,-243.7251,-254.44586,201.0,-282.79895,17.36648,-255.0604,-302.88657,201.0,25728,0.0,0.0,382.19522404670715,0.15527116,-1853.2247
-257.98062,10.918335,-247.06229,-268.89896,201.0,-257.10165,22.712671,-235.04642,-294.85944,201.0,26532,0.0,0.0,431.3282542228699,0.15322743,-1853.2247
-261.85886,14.788673,-247.07018,-276.64752,201.0,-255.58427,12.46392,-240.52628,-274.81747,201.0,27336,0.0,0.0,478.86123538017273,0.15251522,-1853.2247
-268.3509,31.449707,-236.90118,-299.8006,201.0,-256.74664,4.408443,-249.67754,-261.2944,201.0,28140,0.0,0.0,526.5423514842987,0.1514333,-1853.2247
-276.06982,15.314316,-260.7555,-291.38412,201.0,-263.47595,14.346049,-240.2499,-276.1069,201.0,28944,0.0,0.0,575.0759899616241,0.15309328,-1853.2247
-309.4229,8.274475,-301.14844,-317.6974,201.0,-251.38284,12.096437,-230.50072,-259.7366,201.0,29748,0.0,0.0,624.4260404109955,0.14448649,-1853.2247
-262.49915,3.8070068,-258.69214,-266.30615,201.0,-263.45047,18.096498,-246.35257,-289.19922,201.0,30552,0.0,0.0,674.689864397049,0.14683276,-1853.2247
-280.6278,13.2778015,-267.35,-293.9056,201.0,-275.82855,27.345694,-233.91794,-309.34244,201.0,31356,0.0,0.0,723.0219898223877,0.14349593,-1853.2247
